region;absolute;foreigners;invalid;youth;adult;old;longterms;percent
Deutschland;2896985;474283;176040;46693;274035;544484;1031722;7,6
  Schleswig-Holstein;100048;10751;5204;2188;10752;17374;33452;7,7
      Flensburg, Kreisfreie Stadt;5127;506;277;122;640;691;1637;12,5
      Kiel, Landeshauptstadt, Kreisfreie Stadt;12732;2037;485;232;1118;1761;4637;11,3
      Lübeck, Hansestadt, Kreisfreie Stadt;11009;1624;536;227;1152;1566;4304;11,6
      Neumünster, Kreisfreie Stadt;4376;616;177;121;561;597;1599;12,4
      Dithmarschen, Landkreis;5217;283;233;172;710;807;1358;9
      Herzogtum Lauenburg, Landkreis;6059;752;364;154;706;1048;2153;7
      Nordfriesland, Landkreis;5951;333;240;99;584;1184;1755;7,7
      Ostholstein, Landkreis;6439;421;363;136;678;1270;1944;7,3
      Pinneberg, Landkreis;8721;1553;439;176;861;1532;2637;6,2
      Plön, Landkreis;3613;208;184;71;376;770;1278;6,4
      Rendsburg-Eckernförde, Landkreis;7357;462;443;162;822;1460;2153;6,2
      Schleswig-Flensburg, Landkreis;7865;430;588;196;923;1442;3440;8,8
      Segeberg, Landkreis;6716;658;391;118;672;1450;1927;5,4
      Steinburg, Landkreis;3983;270;170;106;484;749;1114;6,6
      Stormarn, Landkreis;4882;600;315;98;467;1046;1517;4,6
  Hamburg;70435;17524;3512;959;5213;10170;21551;8,6
  Niedersachsen;264533;36197;13160;4681;26343;46910;93119;7,3
    Braunschweig, Stat. Region;55555;6676;2443;891;4906;10016;19136;.
      Braunschweig, Kreisfreie Stadt;9566;1531;489;116;653;1623;3586;8,2
      Salzgitter, Kreisfreie Stadt;4403;746;230;64;361;753;1520;9,8
      Wolfsburg, Kreisfreie Stadt;3225;608;133;46;323;538;1038;5,7
      Gifhorn, Landkreis;4816;537;220;112;541;882;1669;5,9
      Göttingen, Landkreis;7723;910;314;130;638;1354;1854;6,7
      Goslar, Landkreis;6128;537;281;79;489;1180;2330;10,1
      Helmstedt, Landkreis;3484;312;168;54;356;610;1449;8,3
      Northeim, Landkreis;4936;450;249;81;491;932;1718;7,8
      Osterode am Harz, Landkreis;3322;306;104;79;313;565;1363;9,7
      Peine, Landkreis;4113;365;190;67;399;803;1189;6,7
      Wolfenbüttel, Landkreis;3841;376;198;64;342;777;1419;7
    Hannover, Stat. Region;81978;15595;3811;1499;8137;13987;31990;.
      Region Hannover, Landkreis;47531;11376;2285;841;4438;7747;19681;9,1
      Hannover, Landeshauptstadt;.;.;.;.;.;.;.;.
      Diepholz, Landkreis;5043;509;200;103;592;901;1354;5
      Hameln-Pyrmont, Landkreis;6075;926;336;121;659;1060;2284;8,9
      Hildesheim, Landkreis;10768;1300;459;183;1043;1849;4364;8,4
      Holzminden, Landkreis;2916;261;134;45;283;529;975;9,1
      Nienburg (Weser), Landkreis;3739;402;185;79;439;746;1146;6,6
      Schaumburg, Landkreis;5907;822;212;126;683;1155;2187;8,3
    Lüneburg, Stat. Region;52046;5262;2347;982;5538;9603;17486;.
      Celle, Landkreis;6700;774;262;149;767;1227;2606;8,5
      Cuxhaven, Landkreis;6018;590;296;118;635;1254;2049;6,8
      Harburg, Landkreis;6164;750;267;108;618;1320;2029;5,4
      Lüchow-Dannenberg, Landkreis;2312;130;100;44;243;378;832;11,9
      Lüneburg, Landkreis;5854;536;224;122;610;940;1676;7,2
      Osterholz, Landkreis;2431;290;106;44;245;473;628;4,7
      Rotenburg (Wümme), Landkreis;3775;309;174;55;401;684;1163;4,9
      Heidekreis, Landkreis;4902;470;247;120;622;776;1522;7,5
      Stade, Landkreis;6674;637;332;143;755;1222;2502;7,1
      Uelzen, Landkreis;3255;213;168;49;360;548;894;8
      Verden, Landkreis;3963;562;173;29;283;781;1587;6,2
    Weser-Ems, Stat. Region;74954;8664;4427;1310;7762;13304;24507;.
      Delmenhorst, Kreisfreie Stadt;4228;863;185;84;440;640;1735;12,1
      Emden, Kreisfreie Stadt;2179;164;138;53;248;349;840;9,4
      Oldenburg (Oldenburg), Kreisfreie Stadt;7126;985;435;144;756;1080;2709;9,2
      Osnabrück, Kreisfreie Stadt;6442;1410;402;91;577;1052;2320;8,6
      Wilhelmshaven, Kreisfreie Stadt;4592;413;299;66;385;744;2037;13,6
      Ammerland, Landkreis;2813;227;177;25;245;560;743;5,1
